Prep,Frame,Phase,PhaseInt,Movement
114,1,P0,1,Twitch
114,2,P0,1,Twitch
114,3,P0,1,Twitch
114,4,P0,1,Twitch
114,5,P0,1,Twitch
114,6,P0,1,Twitch
114,7,P0,1,Twitch
114,8,P0,1,Twitch
114,9,P0,1,Twitch
114,10,P0,1,Twitch
114,11,P0,1,Twitch
114,12,P0,1,Twitch
114,13,P0,1,Twitch
114,14,P0,1,Twitch
114,15,P0,1,Twitch
114,16,P0,1,Twitch
114,17,P0,1,Twitch
114,18,P0,1,Twitch
114,19,P0,1,Twitch
114,20,P0,1,Twitch
114,21,P0,1,Twitch
114,22,P0,1,Twitch
114,23,P0,1,Twitch
114,24,P0,1,Twitch
114,25,P0,1,Twitch
114,26,P0,1,Twitch
114,27,P0,1,Twitch
114,28,P0,1,Twitch
114,29,P0,1,Twitch
114,30,P0,1,Twitch
114,31,P0,1,Twitch
114,32,P0,1,Twitch
114,33,P0,1,Twitch
114,34,P0,1,Twitch
114,35,P0,1,Twitch
114,36,P0,1,Twitch
114,37,P0,1,Twitch
114,38,P0,1,Twitch
114,39,P0,1,Twitch
114,40,P0,1,Twitch
114,41,P0,1,Twitch
114,42,P0,1,Twitch
114,43,P0,1,Twitch
114,44,P0,1,Twitch
114,45,P0,1,Twitch
114,46,P0,1,Twitch
114,47,P0,1,Twitch
114,48,P0,1,Twitch
114,49,P0,1,Twitch
114,50,P0,1,Twitch
114,51,P0,1,Twitch
114,52,P0,1,Twitch
114,53,P0,1,Twitch
114,54,P0,1,Twitch
114,55,P0,1,Twitch
114,56,P0,1,Twitch
114,57,P0,1,Twitch
114,58,P0,1,Twitch
114,59,P0,1,Twitch
114,60,P0,1,Twitch
114,61,P0,1,Twitch
114,62,P0,1,Twitch
114,63,P0,1,Twitch
114,64,P0,1,Twitch
114,65,P0,1,Twitch
114,66,P0,1,Twitch
114,67,P0,1,Twitch
114,68,P0,1,Twitch
114,69,P0,1,Twitch
114,70,P0,1,Twitch
114,71,P0,1,Twitch
114,72,P0,1,Twitch
114,73,P0,1,Twitch
114,74,P0,1,Twitch
114,75,P0,1,Twitch
114,76,P0,1,Twitch
114,77,P0,1,Twitch
114,78,P0,1,Twitch
114,79,P0,1,Twitch
114,80,P0,1,Twitch
114,81,P0,1,Twitch
114,82,P0,1,Twitch
114,83,P0,1,Twitch
114,84,P0,1,Twitch
114,85,P0,1,Twitch
114,86,P0,1,Twitch
114,87,P0,1,Twitch
114,88,P0,1,Twitch
114,89,P0,1,Twitch
114,90,P0,1,Twitch
114,91,P0,1,Twitch
114,92,P0,1,Twitch
114,93,P0,1,Twitch
114,94,P0,1,Twitch
114,95,P0,1,Twitch
114,96,P0,1,Twitch
114,97,P0,1,Twitch
114,98,P0,1,Twitch
114,99,P0,1,Twitch
114,100,P0,1,Twitch
114,101,P0,1,Twitch
114,102,P0,1,Twitch
114,103,P0,1,Twitch
114,104,P0,1,Twitch
114,105,P0,1,Twitch
114,106,P0,1,Twitch
114,107,P0,1,Twitch
114,108,P0,1,Twitch
114,109,P0,1,Twitch
114,110,P0,1,Twitch
114,111,P0,1,Twitch
114,112,P0,1,Twitch
114,113,P0,1,Twitch
114,114,P0,1,Twitch
114,115,P0,1,Twitch
114,116,P0,1,Twitch
114,117,P0,1,Twitch
114,118,P0,1,Twitch
114,119,P0,1,Twitch
114,120,P0,1,Twitch
114,121,P0,1,Twitch
114,122,P0,1,Twitch
114,123,P0,1,Twitch
114,124,P0,1,Twitch
114,125,P0,1,Twitch
114,126,P0,1,Twitch
114,127,P0,1,Twitch
114,128,P0,1,Twitch
114,129,P0,1,Twitch
114,130,P0,1,Twitch
114,131,P0,1,Twitch
114,132,P0,1,Twitch
114,133,P0,1,Twitch
114,134,P0,1,Twitch
114,135,P0,1,Twitch
114,136,P0,1,Twitch
114,137,P0,1,Twitch
114,138,P0,1,Twitch
114,139,P0,1,Twitch
114,140,P0,1,Twitch
114,141,P0,1,Twitch
114,142,P0,1,Twitch
114,143,P0,1,Twitch
114,144,P0,1,Twitch
114,145,P0,1,Twitch
114,146,P0,1,Twitch
114,147,P0,1,Twitch
114,148,P0,1,Twitch
114,149,P0,1,Twitch
114,150,P0,1,Twitch
114,151,P0,1,Twitch
114,152,P0,1,Twitch
114,153,P0,1,Twitch
114,154,P0,1,Twitch
114,155,P0,1,Twitch
114,156,P0,1,Twitch
114,157,P0,1,Twitch
114,158,P0,1,Twitch
114,159,P0,1,Twitch
114,160,P0,1,Twitch
114,161,P0,1,Twitch
114,162,P0,1,Twitch
114,163,P0,1,Twitch
114,164,P0,1,Twitch
114,165,P0,1,Twitch
114,166,P0,1,Twitch
114,167,P0,1,Twitch
114,168,P0,1,Twitch
114,169,P0,1,Twitch
114,170,P0,1,Twitch
114,171,P0,1,Twitch
114,172,P0,1,Twitch
114,173,P0,1,Twitch
114,174,P0,1,Twitch
114,175,P0,1,Twitch
114,176,P0,1,Twitch
114,177,P0,1,Twitch
114,178,P0,1,Twitch
114,179,P0,1,Twitch
114,180,P0,1,Twitch
114,181,P0,1,Twitch
114,182,P0,1,Twitch
114,183,P0,1,Twitch
114,184,P0,1,Twitch
114,185,P0,1,Twitch
114,186,P0,1,Twitch
114,187,P0,1,Twitch
114,188,P0,1,Twitch
114,189,P0,1,Twitch
114,190,P0,1,Twitch
114,191,P0,1,Twitch
114,192,P0,1,Twitch
114,193,P0,1,Twitch
114,194,P0,1,Twitch
114,195,P0,1,Twitch
114,196,P0,1,Twitch
114,197,P0,1,Twitch
114,198,P0,1,Twitch
114,199,P0,1,Twitch
114,200,P0,1,Twitch
114,201,P0,1,Twitch
114,202,P0,1,Twitch
114,203,P0,1,Twitch
114,204,P0,1,Twitch
114,205,P0,1,Twitch
114,206,P0,1,Twitch
114,207,P0,1,Twitch
114,208,P0,1,Twitch
114,209,P0,1,Twitch
